candidateId,value,universidad_homologada
630665b8594e18004af04b05,Universidad Autónoma Del Perú,Si
630665b8594e18004af04b0c,Certus,No
630665b8594e18004af04b13,Instituto De Formación Bancaria - Ifb,No
630665b8594e18004af04b1e,Pontificia Universidad Católica Del Perú,Si
630665b8594e18004af04b26,Universidad Privada Del Norte,Si
630665b8594e18004af04b2c,Iestp Simón Bolivar,No
630665b8594e18004af04b38,Certus,No
630665b8594e18004af04b40,Senati(independencia),No
630665b8594e18004af04b46,Certus,No
630665b8594e18004af04b4c,Instituto Certus,No
630665b8594e18004af04b54,Senati,No
630665b8594e18004af04b5c,Universidad César Vallejo,Si
630665b8594e18004af04b63,Certus,No
630665b8594e18004af04b69,Alas Peruanas,No
630665b8594e18004af04b71,Universidad César Vallejo​,Si
630665b8594e18004af04b77,Certus,No
630665b8594e18004af04b7e,Universidad Cesar Vallejo,Si
630665b8594e18004af04b84,Britanico,No
630665b8594e18004af04b90,Universidad Peruana Los Andes,Si
630665b8594e18004af04b9a,Instituto De Formación Bancaria - Ifb,No
630665b8594e18004af04ba2,Universidad Privada Del Norte,Si
630665b8594e18004af04ba9,Certus,No
630665b8594e18004af04bb3,Certus,No
630665b8594e18004af04bbb,Usil,Si
630665b8594e18004af04bbb,Isil,No
630665b8594e18004af04bc5,Certus,No
630665b8594e18004af04bcc,Instituto Cibertec,No
630665b8594e18004af04bda,Universidad Peruana De Ciencias Aplicadas,Si
630665b8594e18004af04be1,Zegel Ipae,No
630665b8594e18004af04be1,Instituto Tecnologico De Chile,No
630665b8594e18004af04bf4,Ifb Certus,No
630665b8594e18004af04bfa,Upn,Si
630665b8594e18004af04c00,Icpna,No
630665b8594e18004af04c00,Torre Usil,No
630665b8594e18004af04c08,Universidad Tecnológica Del Perú,Si
630665b8594e18004af04c10,Universidad Tecnologica Del Peru,Si
630665b8594e18004af04c19,Certus,No
630665b8594e18004af04c28,Universidad César Vallejo,Si
630665b8594e18004af04c2e,Certus,No
630665b8594e18004af04c35,Certus,No
630665b8594e18004af04c3d,Universidad Privada Del Norte,Si
630665b8594e18004af04c45,Ibp  El Buen Pastor,No
630665b8594e18004af04c4c,Cibertec,No
630665b8594e18004af04c55,Icpna,No
630665b8594e18004af04c55,Universidad Tecnológica Del Perú,Si
630665b8594e18004af04c5f,Ifb Certus,No
630665b8594e18004af04c65,Universidad Cesar Vallejo - Ucv,Si
630665b8594e18004af04c6e,Instituto Cibertec,No
630665b8594e18004af04c77,Universidad Privada Del Norte,Si
630665b8594e18004af04c7f,Cetpro Computec Millenium,No
630665b8594e18004af04c86,Universidad Nacional Del Callao - Unac,Si
630665b8594e18004af04c8f,Pucp,Si
630665b8594e18004af04c96,Universidad Autònoma Del Perù,Si
630665b8594e18004af04c96,Instituto Superior Tecnológico Público Julio César Tello,No
630665b8594e18004af04c9d,Instituto De Formación Bancaria - Ifb,No
630665b8594e18004af04ca5,Universidad Autónoma Del Perú,Si
630665b8594e18004af04ca5,Iep San José De Los Balnearios Del Sur,No
630665b8594e18004af04cb1,Cesca,No
630665b8594e18004af04cb8,Isil,No
630665b8594e18004af04cc1,Universidad Andina Néstor Cáceres Velasquez,No
630665b8594e18004af04cc9,Icpna,No
630665b8594e18004af04cc9,Instituto De Formación Bancaria - Ifb,No
630665b8594e18004af04cd1,Universidad Nacional Federico Villareal,Si
630665b8594e18004af04cd1,Icpna,No
630665b8594e18004af04cd8,Ipae,No
630665b8594e18004af04cd8,Jose De San Martin,No
630665b8594e18004af04ce2,César Vallejo - Lima,No
630665b8594e18004af04cef,Universidad Científica Del Sur,Si
630665b8594e18004af04cef,Adex,No
630665b8594e18004af04cfb,Instituto Arzobispo Loayza,No
630665b8594e18004af04cfb,Universidad Cesar Vallejo,Si
630665b8594e18004af04d04,Adex Instituto,No
630665b8594e18004af04d0b,Idat,No
630665b8594e18004af04d15,Universidad San Ignacio De Loyola - Usil,Si
630665b8594e18004af04d15,Instituto De Formación Bancaria - Ifb Certus,No
630665b8594e18004af04d20,Universidad San Martin De Porres,Si
630665b8594e18004af04d20,Computronic,No
630665b8594e18004af04d31,Instituto De Formación Bancaria - Ifb,No
630665b8594e18004af04d3b,Universidad De San Martín De Porres,Si
630665b8594e18004af04d41,Universidad Nacional De San Agustín,Si
630665b8594e18004af04d4b,Unap,Si
630665b8594e18004af04d51,Instituto De Educación Superior Tecnológico Privado Acip,No
630665b8594e18004af04d5d,Isam,No
630665b8594e18004af04d63,Idat,No
630665b8594e18004af04d6a,Universidad San Ignacio De Loyola - Usil,Si
630665b8594e18004af04d79,Instituto Superior Tecnologico La Oroya,No
630665b8594e18004af04d81,Universidad Peruana Los Andes,Si
630665b8594e18004af04d81,Andres A. Avelino Caceres,No
630665b8594e18004af04d8b,Universidad Peruana Los Andes,Si
630665b8594e18004af04d91,Instituto Continental,No
630665b8594e18004af04d98,Sise,No
630665b8594e18004af04dab,Universidad Cesar Vallejo,Si
630665b8594e18004af04db3,Universidad Nacional De La Amazonia Peruana,Si
630665b8594e18004af04dba,Unes- Esforspol,No
630665b8594e18004af04dc0,Certus,No
630665b8594e18004af04dc6,Universidad Tecnológica Del Perú,Si
630665b8594e18004af04dd1,Instituto De Educación Superior De Perumaster,No
630665b8594e18004af04dd7,Netzun,No
630665b8594e18004af04dd7,Instituto Nacional De Estadística E Informática - Inei,No
630665b8594e18004af04de5,I.s.t.p Cepea,No
630665b8594e18004af04dee,Universidad Nacional De La Amazonia Peruana,Si
630665b8594e18004af04dee,Ceps. Virgen De Loreto,No
630665b8594e18004af04df6,Sabio Nacional Antúnez De Mayolo,No
630665b8594e18004af04e02,Certus,No
630665b8594e18004af04e02,Certus,No
630665b8594e18004af04e0b,Utp - Universidad Tecnológica Del Perú,No
630665b8594e18004af04e0b,Icpna,No
630665b8594e18004af04e14,Universidad Cesar Vallejo,Si
630665b8594e18004af04e1b,Universidad Nacional De La Amazonia Peruana,Si
630665b8594e18004af04e1b,San Francisco De Asís,No
630665b8594e18004af04e29,Universidad Nacional Daniel Alcides Carrión - Undac,Si
630665b8594e18004af04e29,Universidad Privada Telesup,No
630665b8594e18004af04e33,Instituto De Formación Bancaria - Ifb,No
630665b8594e18004af04e3e,Universidad Alas Peruanas,No
630665b8594e18004af04e4a,Universidad Nacional De Tumbes,Si
630665b8594e18004af04e52,Universidad Nacional De Educación Enrique Guzmán Y Valle - La Cantuta,Si
630665b8594e18004af04e59,Universidad San Martin De Porres,Si
630665b8594e18004af04e64,Universidad Nacional De Tumbes,Si
630665b8594e18004af04e6b,Universidad Privada Del Norte,Si
630665b8594e18004af04e71,Sise,No
630665b8594e18004af04e7a,Iestp Argentina,No
630665b8594e18004af04e82,Telesup,No
630665b8594e18004af04e8e,Universidad Tecnológica Del Perú - Utp,No
630665b8594e18004af04ea0,Idat,No
630665b8594e18004af04ea0,I.e. Virgen Del Morro Solar,No
630665b8594e18004af04ea8,Administracion De Empresas,No
630665b8594e18004af04eae,Sise,No
630665b8594e18004af04eb5,Instituto De Formación Bancaria - Ifb,No
630665b8594e18004af04eb5,Británico,No
630665b8594e18004af04ebd,Certus,No
630665b8594e18004af04ebd,N°3 Monitor Huascar,No
630665b8594e18004af04ed2,Universidad Privada Del Norte,Si
630665b8594e18004af04ed2,Eiger,No
630665b8594e18004af04eda,Universidad Del Pacifico,Si
630665b8594e18004af04ee0,Modern Systems,No
630665b8594e18004af04ee7,Idat,No
630665b8594e18004af04eef,Idat,No
630665b8594e18004af04ef5,Enrique Guzmán Y Valle,No
630665b8594e18004af04ef5,Cesar Vallejo,No
630665b8594e18004af04efc,Universidad Nacional Daniel Alcides Carrión,Si
630665b8594e18004af04f03,Certus,No
630665b8594e18004af04f11,Universidad Alas Peruanas,No
630665b8594e18004af04f1d,Pedro A. Del Águila Hidalgo,No
630665b8594e18004af04f24,Cibertec,No
